State,Update,Covered,URL
New Hampshire,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of New Hampshire. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,New%20Hampshire
New Jersey,9/15/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of New Jersey. ",New%20Jersey
New Mexico,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility and electric cooperatives in the State of New Mexico. Customers that receive service from a municipal utility are not covered by these policies. ,New%20Mexico
New York,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of New York. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,New%20York
North Carolina,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of North Carolina. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,North%20Carolina
North Dakota,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of North Dakota. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,North%20Dakota
Ohio,9/10/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Ohio. Customers that receive service from a municipal utility or an electric cooperative are not covered by these policies. ,Ohio
Oklahoma,7/9/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or electric cooperative in the State of Oklahoma. Customers that receive service from a municipal utility are not covered by these policies. ,Oklahoma
Oregon,7/9/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Oregon. Customers that receive service from a municipal utility or electric cooperative are not covered by these policies. ,Oregon
Pennsylvania,7/9/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Pennsylvania. Customers that receive service from a municipal utility or electric cooperative are not covered by these policies. ,Pennsylvania
Rhode Island,7/9/2022,"These regulations shall apply to all individuals, partnerships, associations, corporations, municipalities, and cooperatives which are under the jurisdiction of the Public Utilities Commission and which own or operate electric, gas, or water utilities in the State of Rhode Island. They shall apply only to residential customers of the public utility and shall not be applicable to commercial or industrial customers. ",Rhode%20Island
South Carolina,7/9/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or electric cooperative in the State of South Carolina. Customers that receive service from a municipal utility are not covered by these policies. ,South%20Carolina
South Dakota,8/5/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of South Dakota. Customers that receive service from a municipal utility or electric cooperative are not covered by these policies.  ,South%20Dakota
Tennessee,9/26/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility in the State of Tennessee. Customers that receive service from a municipal utility or electric cooperative are not covered by these policies.  ,Tennessee
Texas,10/16/2022,"These policies apply to all electric utilities that provide retail electric utility service in Texas, with the exception of municipal utilities.",Texas
Utah,10/16/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or an electric cooperative in the State of Utah. Customers that receive service from a municipal utility are not covered by these policies. These policies also do not apply to master-metered apartments. ,Utah
Vermont,10/13/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of Vermont. ",Vermont
Virginia,10/23/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or an electric cooperative in the State of Virginia. Customers that receive service from a municipal utility are not covered by these policies. ,Virginia
Washington,10/16/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of Washington. ",Washington
West Virginia,8/3/2022,"These policies pertain to electricity customers who receive their service from an investor-owned utility, a municipal utility, or an electric cooperative in the State of West Virginia. ",West%20Virginia
Wisconsin,10/16/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or a municipal utility in the State of Wisconsin. Customers that receive service from an electric cooperative are not covered by these policies. ,Wisconsin
Wyoming,8/3/2022,These policies pertain to electricity customers who receive their service from an investor-owned utility or an electric cooperative in the State of Wyoming. Customers that receive service from a municipal utility are not covered by these policies.  ,Wyoming
