State,State Docket Long Narrative,Date on Dashboard,Date Last Reviewed by the Energy Justice Lab
North Dakota,"North Dakota instituted a disconnections reporting requirement in 2010; however, older reports are uploaded as images, rather than PDFs and are difficult to parse. Additionally, the reports detail customer-by-customer disconnections, rather than aggregated totals. Reports consist of disconnections and the amount of the customer's bill at the time of disconnection.",Jan 2018 - Oct 2022,2023-06-07T00:00:00Z
Ohio,"Ohio instituted monthly reporting requirements in 2008; regulated utilities file disconnection, reconnection, arrearage, and other customer bill statistics. The Energy Justice Lab obtained disconnections information from the City of Cleveland (2010-2022) through an open records request.",Jan 2010 - May 2022,2023-06-07T00:00:00Z
Oklahoma,Oklahoma does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the Stillwater Utility Authority (2017-2022) through an open records request.,Jan 2017 - Oct 2022,2023-06-07T00:00:00Z
Oregon,Oregon instituted quarterly reporting requirements of disconnections for non-payment and subsequent reconnections in 2018.,Aug 2018 - Oct 2022,2023-06-07T00:00:00Z
Pennsylvania,"Pennsylvania instituted a quarterly disconnections reporting requirement in response to the COVID-19 pandemic, and required regulated utilities file monthly compliance reports covering April 2019 to the fourth quarter of 2021. Major utilities also filed year-to-date disconnections information covering January 2022 - August 2022, which the Energy Justice Lab converted to monthly data by dividing by the total by the number of reported months.",Apr 2019 - Oct 2022,2023-06-07T00:00:00Z
Rhode Island,"Rhode Island instituted reporting requirements in however, the reporting docket only includes disconnection reports through 2019. The Energy Justice Lab obtained additional reports from a network partner.",Apr 2004 - Sep 2022,2023-06-07T00:00:00Z
South Carolina,"South Carolina instituted requirements for quarterly reporting on involuntary termination of Electric, Gas, or Electric and Gas service in 2006. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information.",Oct 2004 - Sep 2022,2023-06-07T00:00:00Z
South Dakota,"South Dakota does not require disconnection reporting. However, pursuant to an order from the public utility commission, investor owned utilities did report quarterly disconnection activity and cost effects from arrearages and bill pay activity resulting from the COVID-19 pandemic. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information.",Jan 2020 - Mar 2022,2023-02-15T00:00:00Z
Tennessee,Tennessee does not require disconnection reporting.,,2023-01-30T00:00:00Z
Texas,"Texas does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the Brownsville Public Utilities Board (2010-2022), City of New Braunfels (2010-2022), and CPS Energy (2019-2022) through open records requests.",Jan 2010 - May 2022,2023-06-07T00:00:00Z
Utah,"Utah instituted a disconnections reporting requirement in response to the COVID-19 pandemic, but has not required further reporting. The sole regulated utility, Rocky Mountain Power, filed over 20 years of disconnections information in this report. The Energy Justice Lab obtained disconnections information from the City of St George (2020-2022) through an open records request.",Sep 2000 - Dec 2022,2023-06-07T00:00:00Z
Vermont,"Vermont instituted reporting requirements in 2018 and the Energy Justice Lab cleaned and compiled reports for the state's largest investor owned utility, Green Mountain Power for 2018-2023. The Energy Justice Lab obtained disconnections information from City of Burlington Electric (2010-2022) through an open records request.",Feb 2010 - Feb 2023,2023-06-07T00:00:00Z
Virginia,"Virginia does not require disconnection reporting. However, the Energy Justice Lab obtained disconnections information from the State Corporation Commission, which collects on a voluntary basis, information for eight IOUs (excluding Southwestern Virginia Gas), which considers the information confidential, and thirteen co-operative utilities, aggregated (2009-2023).",Jan 2009 - Feb 2023,2023-06-07T00:00:00Z
Washington,"Washington instituted a disconnections reporting requirement in response to the COVID-19 pandemic.  The Utilities and Transportation Commission assembled an interactive dashboard for viewers to explore the state's utility disconnection and arrearage information. The Energy Justice Lab obtained disconnections information from Seattle City Light (2016-2019), City of Richland (2010-2022), and City of Tacoma (2010-2022) through open records requests.",Jan 2010 - Sep 2022,2023-06-07T00:00:00Z
"Washington, DC","Washington D.C. instituted a reporting requirement to cover disconnections and arrearages in 2005. However, many of the early reports are scanned images and the numbers are hard to read.",Jan 2005 - Dec 2022,2023-06-07T00:00:00Z
West Virginia,West Virginia does not require disconnection reporting.,,2023-01-30T00:00:00Z
Wisconsin,"The Wisconsin Public Service Commission issued a requirement for all water, electric, and natural gas public utilities to submit quarterly reports of disconnection and arrearage totals during 2021 in response to the COVID-19 pandemic. The Commission aggregated the responses for the all the utilities in a memorandum, the totals from which are incorporated into the dashboard. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information. The Energy Justice Lab obtained disconnections information from Sun Prairie Utilities (2014-2022) through an open records request.",Jan 2014 - Jan 2022,2023-06-07T00:00:00Z
Wyoming,Wyoming does not require disconnection reporting.,,2023-01-30T00:00:00Z
